timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
9232328000,1.1011362,1.1274546,11.832703,1.0
9232332000,2.3901415,2.4472756,11.832703,1.0
9232336000,2.9127994,2.9823987,11.832703,1.0
9232340000,3.4993825,3.5830305,11.832703,1.0
9232344000,-1.3965499,-1.4299433,11.832703,1.0
9232352000,-2.3602118,-2.4166212,11.832703,1.0
9232356000,-1.6039968,-1.6423283,11.832703,1.0
9232360000,3.1719296,3.2477374,11.832703,1.0
9232368000,1.2477415,1.2775644,11.832703,1.0
9232372000,1.844081,1.8881527,11.832703,1.0
9232380000,3.6928945,3.7811613,11.832703,1.0
9232384000,-2.8742049,-2.9428391,11.832703,1.0
9232392000,1.7048124,1.7455553,11.832703,1.0
9232396000,3.8454914,3.9373937,11.832703,1.0
9232400000,2.2029371,2.2556026,11.832703,1.0
9232404000,1.7561011,1.7980664,11.832703,1.0
9232408000,-2.6341095,-2.6970677,11.832703,1.0
9232416000,2.247328,2.3010414,11.832703,1.0
9232420000,-2.2212226,-2.2743046,11.832703,1.0
9232428000,-2.3491383,-2.4052758,11.832703,1.0
9232432000,2.7979283,2.8647919,11.832703,1.0
9232436000,2.1731112,2.2250528,11.832703,1.0
9232440000,2.1989052,2.2514508,11.832703,1.0
9232444000,-1.6399345,-1.6791317,11.832703,1.0
9232448000,2.9255404,2.9954264,11.832703,1.0
9232452000,3.6065302,3.6927276,11.832703,1.0
9232456000,2.4658644,2.5248,11.832703,1.0
9232460000,2.9198713,2.9896588,11.832703,1.0
9232464000,-1.5610563,-1.5983768,11.832703,1.0
9232468000,-1.10431,-1.1307019,11.832703,1.0
9232472000,0.4970614,0.5089421,11.832703,1.0
9232480000,1.0357481,1.0605094,11.832703,1.0
9232484000,-5.295058,-5.421557,11.832703,1.0
9232488000,1.5352334,1.5719368,11.832703,1.0
9232492000,-2.8045332,-2.8715587,11.832703,1.0
9232500000,1.6577191,1.6973481,11.832703,1.0
9232504000,-1.9581157,-2.0049186,11.832703,1.0
9232508000,1.6372957,1.6764311,11.832703,1.0
9232512000,2.5359292,2.5965307,11.832703,1.0
9232516000,-1.9221445,-1.9680866,11.832703,1.0
9232520000,3.5822945,3.6678798,11.832703,1.0
9232524000,-2.222143,-2.2752464,11.832703,1.0
9232532000,-1.617096,-1.6557536,11.832703,1.0
9232536000,2.39765,2.4549572,11.832703,1.0
9232544000,-0.57233906,-0.58602005,11.832703,1.0
9232548000,-2.95456,-3.025186,11.832703,1.0
9232556000,3.2300148,3.307208,11.832703,1.0
9232560000,1.5663205,1.6037539,11.832703,1.0
9232568000,-2.6248736,-2.6876152,11.832703,1.0
9232572000,2.7986288,2.8655012,11.832703,1.0
9232580000,-3.3954816,-3.4766426,11.832703,1.0
9232584000,-2.840356,-2.9082549,11.832703,1.0
9232588000,-3.8806877,-3.9733932,11.832703,1.0
9232592000,3.4120953,3.493653,11.832703,1.0
9232596000,-2.9060957,-2.9755526,11.832703,1.0
9232604000,-3.7550976,-3.84487,11.832703,1.0
9232608000,3.403986,3.4853365,11.832703,1.0
9232612000,-1.5211709,-1.557527,11.832703,1.0
9232616000,2.8672018,2.9357193,11.832703,1.0
9232620000,-1.9660544,-2.0130234,11.832703,1.0
9232624000,3.9495773,4.043918,11.832703,1.0
9232628000,0.13937935,0.14271012,11.832703,1.0
9232636000,-1.1254187,-1.1523112,11.832703,1.0
9232644000,-4.03232,-4.128705,11.832703,1.0
9232648000,-0.6065545,-0.6210564,11.832703,1.0
9232656000,-1.6688104,-1.7086973,11.832703,1.0
9232660000,-2.4207697,-2.4786336,11.832703,1.0
9232664000,3.33241,3.4120374,11.832703,1.0
9232668000,-1.6873739,-1.7276969,11.832703,1.0
9232676000,-2.3241355,-2.3796859,11.832703,1.0
9232680000,0.8405425,0.8606251,11.832703,1.0
9232684000,2.9913964,3.0629108,11.832703,1.0
9232692000,-3.7560308,-3.8457987,11.832703,1.0
9232696000,4.2697506,4.3718243,11.832703,1.0
9232700000,2.2503788,2.3041644,11.832703,1.0
9232708000,-2.7422082,-2.8077428,11.832703,1.0
9232712000,-3.1660235,-3.2416852,11.832703,1.0
9232720000,-1.5924526,-1.6304998,11.832703,1.0
9232724000,1.7822847,1.8248858,11.832703,1.0
9232728000,-2.2666345,-2.320812,11.832703,1.0
9232736000,0.60567,0.6201492,11.832703,1.0
9232740000,1.5247432,1.5611764,11.832703,1.0
9232748000,-4.083271,-4.1808424,11.832703,1.0
9232752000,-1.146348,-1.1737599,11.832703,1.0
9232760000,-0.9307633,-0.95300424,11.832703,1.0
9232764000,-2.7799678,-2.8463938,11.832703,1.0
9232768000,3.1502635,3.2255204,11.832703,1.0
9232772000,-2.1092703,-2.1597135,11.832703,1.0
9232776000,-3.329246,-3.4088275,11.832703,1.0
9232780000,2.5594468,2.6206076,11.832703,1.0
9232784000,-3.081883,-3.155548,11.832703,1.0
9232788000,0.74988997,0.7678138,11.832703,1.0
9232792000,2.7617936,2.8278165,11.832703,1.0
9232796000,-1.8835106,-1.9285262,11.832703,1.0
9232800000,3.8692925,3.9617844,11.832703,1.0
9232808000,3.3884802,3.469465,11.832703,1.0
9232812000,2.3874516,2.4445148,11.832703,1.0
9232816000,1.9333963,1.9796032,11.832703,1.0
9232820000,-2.7853997,-2.8519506,11.832703,1.0
9232824000,-1.4802428,-1.5156244,11.832703,1.0
9232828000,-2.4713726,-2.5304244,11.832703,1.0
9232836000,-4.566603,-4.6757503,11.832703,1.0
9232840000,-1.8474103,-1.8915623,11.832703,1.0
9232844000,2.0074482,2.0554447,11.832703,1.0
9232848000,-1.3731868,-1.4060189,11.832703,1.0
9232856000,3.5617192,3.6468368,11.832703,1.0
9232860000,-1.0828676,-1.1087406,11.832703,1.0
9232868000,-2.2455828,-2.2992554,11.832703,1.0
9232872000,0.7502456,0.76817626,11.832703,1.0
9232876000,0.7315548,0.7490328,11.832703,1.0
9232880000,-1.776278,-1.8187438,11.832703,1.0
9232888000,-0.9419359,-0.96445113,11.832703,1.0
9232892000,3.3950462,3.4762018,11.832703,1.0
9232896000,1.6066266,1.6450325,11.832703,1.0
9232904000,-0.9490852,-0.97177005,11.832703,1.0
9232908000,1.2157571,1.2448148,11.832703,1.0
9232916000,-2.8798728,-2.9486816,11.832703,1.0
9232920000,1.6840258,1.7242529,11.832703,1.0
9232924000,-3.105248,-3.1794627,11.832703,1.0
9232928000,-1.0946455,-1.1208028,11.832703,1.0
9232932000,0.6074308,0.62194496,11.832703,1.0
9232940000,-2.5230238,-2.5832968,11.832703,1.0
9232944000,-0.14573485,-0.14921756,11.832703,1.0
9232948000,1.2860817,1.3168147,11.832703,1.0
9232952000,-1.4077867,-1.4414406,11.832703,1.0
9232956000,0.95106167,0.9737882,11.832703,1.0
9232960000,2.0739849,2.1235597,11.832703,1.0
9232968000,2.3918097,2.4489806,11.832703,1.0
9232976000,-2.403999,-2.4614346,11.832703,1.0
9232980000,1.2929373,1.3238316,11.832703,1.0
9232984000,-1.5992434,-1.6374791,11.832703,1.0
9232992000,-3.4424765,-3.5247679,11.832703,1.0
9232996000,2.8971841,2.966449,11.832703,1.0
9233004000,2.69001,2.7543333,11.832703,1.0
9233008000,3.7566237,3.846413,11.832703,1.0
9233012000,2.7524517,2.8182302,11.832703,1.0
9233016000,4.589009,4.6986637,11.832703,1.0
9233024000,0.78360415,0.8023339,11.832703,1.0
9233032000,2.8663845,2.934908,11.832703,1.0
9233040000,-0.8997798,-0.9212851,11.832703,1.0
9233048000,2.0869617,2.1368306,11.832703,1.0
9233052000,2.9777987,3.048968,11.832703,1.0
9233056000,1.3333398,1.3652067,11.832703,1.0
9233060000,-0.49631664,-0.50817823,11.832703,1.0
9233064000,2.491108,2.5506532,11.832703,1.0
9233072000,-3.175172,-3.2510214,11.832703,1.0
9233076000,3.197688,3.2740984,11.832703,1.0
9233080000,-2.437561,-2.4958067,11.832703,1.0
9233088000,-1.7502265,-1.7920661,11.832703,1.0
9233096000,0.6080269,0.62255895,11.832703,1.0
9233100000,-1.6916605,-1.732089,11.832703,1.0
9233104000,1.6973332,1.7378953,11.832703,1.0
9233108000,-2.6723182,-2.736183,11.832703,1.0
9233116000,-1.889559,-1.9347308,11.832703,1.0
9233120000,3.516823,3.6008446,11.832703,1.0
9233124000,1.5830901,1.6209239,11.832703,1.0
9233132000,-3.271225,-3.3494093,11.832703,1.0
9233136000,-1.096684,-1.1228904,11.832703,1.0
9233140000,-2.8101785,-2.8773491,11.832703,1.0
9233144000,-3.1649907,-3.2405906,11.832703,1.0
9233152000,1.109975,1.1365049,11.832703,1.0
9233156000,2.516669,2.5768046,11.832703,1.0
9233160000,-1.3925343,-1.4258088,11.832703,1.0
9233164000,-2.0917683,-2.141762,11.832703,1.0
9233172000,-1.2962091,-1.3271956,11.832703,1.0
9233176000,2.951361,3.021903,11.832703,1.0
9233180000,-1.6964847,-1.7370261,11.832703,1.0
9233184000,2.4120874,2.469732,11.832703,1.0
9233192000,2.2556932,2.3096132,11.832703,1.0
9233196000,-1.746923,-1.78867,11.832703,1.0
9233200000,3.047667,3.120522,11.832703,1.0
9233204000,1.5403504,1.577173,11.832703,1.0
9233208000,-1.5782841,-1.616013,11.832703,1.0
9233212000,-3.0731077,-3.1465545,11.832703,1.0
9233220000,1.8485525,1.8927294,11.832703,1.0
9233228000,-2.2073123,-2.2600615,11.832703,1.0
9233232000,2.9687161,3.0396898,11.832703,1.0
9233240000,-2.977756,-3.0489397,11.832703,1.0
9233244000,1.8426028,1.8866402,11.832703,1.0
9233248000,-2.4029198,-2.460337,11.832703,1.0
9233252000,4.3878717,4.4927087,11.832703,1.0
9233256000,-2.3112478,-2.3664787,11.832703,1.0
9233260000,-3.704168,-3.7926736,11.832703,1.0
9233268000,3.1286933,3.2034383,11.832703,1.0
