timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
9232248000,0,473977552,85456078,488106,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,0.03,0.5061305,0,nan,nan,3,0,10
9232448000,0,473977552,85456079,488109,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.03,0.0,0.0,0.045726277,0,nan,nan,3,0,10
9232648000,0,473977552,85456079,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,4.78241,0,nan,nan,3,0,10
9232848000,0,473977552,85456078,488108,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.01,0.20332485,0,nan,nan,3,0,10
9233048000,0,473977552,85456078,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.6129857,0,nan,nan,3,0,10
9233248000,0,473977552,85456079,488112,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.8475952,0,nan,nan,3,0,10
9233448000,0,473977552,85456079,488114,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.04,5.138796,0,nan,nan,3,0,10
9233648000,0,473977552,85456079,488116,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.9609941,0,nan,nan,3,0,10
9233948000,0,473977552,85456079,488113,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.02,5.1511874,0,nan,nan,3,0,10
9234148000,0,473977552,85456079,488099,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0761383,0,nan,nan,3,0,10
9234348000,0,473977552,85456079,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,0.0,5.723813,0,nan,nan,3,0,10
9234548000,0,473977552,85456079,488142,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.03,0.01,0.02,-0.32999998,1.127275,0,nan,nan,3,0,10
